year;Antal;Month
2013;2520;1
2013;2658;2
2013;2915;3
2013;2820;4
2013;4788;5
2013;7881;6
2013;7164;7
2013;8524;8
2013;4289;9
2013;2955;10
2013;2537;11
2013;2559;12
2014;2418;13
2014;2868;14
2014;2694;15
2014;3117;16
2014;5555;17
2014;7633;18
2014;7131;19
2014;8809;20
2014;4481;21
2014;3304;22
2014;2550;23
2014;2553;24
2015;2576;25
2015;3010;26
2015;2424;27
2015;2838;28
2015;5810;29
2015;6711;30
2015;7553;31
2015;8956;32
2015;4597;33
2015;3247;34
2015;2424;35
2015;2168;36
2016;2545;37
2016;2835;38
2016;2581;39
2016;3097;40
2016;5055;41
2016;6956;42
2016;8933;43
2016;8331;44
2016;4998;45
2016;3448;46
2016;2299;47
2016;2739;48
2017;2448;49
2017;2664;50
2017;2557;51
2017;3102;52
2017;4817;53
2017;6672;54
2017;8707;55
2017;7858;56
2017;5685;57
2017;2996;58
2017;2346;59
2017;2645;60
2018;2379;61
2018;2728;62
2018;2628;63
2018;2748;64
2018;4694;65
2018;7413;66
2018;6872;67
2018;8446;68
2018;5346;69
2018;2853;70
2018;2235;71
2018;2454;72
2019;2067;73
2019;2809;74
2019;2689;75
2019;2617;76
2019;4622;77
2019;7371;78
2019;6515;79
2019;7978;80
2019;4436;81
2019;2867;82
2019;2292;83
2019;2218;84
2020;2053;85
2020;3607;86
2020;1888;87
2020;1840;88
2020;3421;89
2020;4086;90
2020;4661;91
2020;5980;92
2020;3517;93
2020;3057;94
2020;1917;95
2020;1564;96
2021;1603;97
2021;2017;98
2021;2040;99
2021;1985;100
2021;3460;101
2021;4091;102
2021;6113;103
2021;6091;104
2021;3976;105
2021;3191;106
2021;2154;107
2021;2174;108
2022;2080;109
2022;2638;110
2022;2263;111
2022;2614;112
2022;4899;113
2022;6410;114
2022;8288;115
2022;6902;116
2022;4251;117
2022;3244;118
2022;2152;119
2022;2142;120