Month;Antal;month
1;2520;1
2;2658;2
3;2915;3
4;2820;4
5;4788;5
6;7881;6
7;7164;7
8;8524;8
9;4289;9
10;2955;10
11;2537;11
12;2559;12
1;2418;13
2;2868;14
3;2694;15
4;3117;16
5;5555;17
6;7633;18
7;7131;19
8;8809;20
9;4481;21
10;3304;22
11;2550;23
12;2553;24
1;2576;25
2;3010;26
3;2424;27
4;2838;28
5;5810;29
6;6711;30
7;7553;31
8;8956;32
9;4597;33
10;3247;34
11;2424;35
12;2168;36
1;2545;37
2;2835;38
3;2581;39
4;3097;40
5;5055;41
6;6956;42
7;8933;43
8;8331;44
9;4998;45
10;3448;46
11;2299;47
12;2739;48
1;2448;49
2;2664;50
3;2557;51
4;3102;52
5;4817;53
6;6672;54
7;8707;55
8;7858;56
9;5685;57
10;2996;58
11;2346;59
12;2645;60
1;2379;61
2;2728;62
3;2628;63
4;2748;64
5;4694;65
6;7413;66
7;6872;67
8;8446;68
9;5346;69
10;2853;70
11;2235;71
12;2454;72
1;2067;73
2;2809;74
3;2689;75
4;2617;76
5;4622;77
6;7371;78
7;6515;79
8;7978;80
9;4436;81
10;2867;82
11;2292;83
12;2218;84
1;2053;85
2;3607;86
3;1888;87
4;1840;88
5;3421;89
6;4086;90
7;4661;91
8;5980;92
9;3517;93
10;3057;94
11;1917;95
12;1564;96
1;1603;97
2;2017;98
3;2040;99
4;1985;100
5;3460;101
6;4091;102
7;6113;103
8;6091;104
9;3976;105
10;3191;106
11;2154;107
12;2174;108
1;2080;109
2;2638;110
3;2263;111
4;2614;112
5;4899;113
6;6410;114
7;8288;115
8;6902;116
9;4251;117
10;3244;118
11;2152;119
12;2142;120